baseYmd,daywkDivCd,daywkDivNm,signguCode,signguNm,touDivCd,touDivNm,touNum
20210501,6,토요일,11470,양천구,3,외국인(c),74.33485961
20210501,6,토요일,11500,강서구,1,현지인(a),232078
20210501,6,토요일,11500,강서구,2,외지인(b),217266
20210501,6,토요일,11500,강서구,3,외국인(c),230.3755385
20210501,6,토요일,11530,구로구,1,현지인(a),171013.5
20210501,6,토요일,11530,구로구,2,외지인(b),172371.5
20210501,6,토요일,11530,구로구,3,외국인(c),294.4369613
20210501,6,토요일,11545,금천구,1,현지인(a),77283.5
20210501,6,토요일,11545,금천구,2,외지인(b),68985
20210501,6,토요일,11545,금천구,3,외국인(c),114.525
20210501,6,토요일,11560,영등포구,1,현지인(a),206104.5
20210501,6,토요일,11560,영등포구,2,외지인(b),306446
20210501,6,토요일,11560,영등포구,3,외국인(c),231.6143823
20210501,6,토요일,11590,동작구,1,현지인(a),167587
20210501,6,토요일,11590,동작구,2,외지인(b),138505.5
20210501,6,토요일,11590,동작구,3,외국인(c),84.55436782
20210501,6,토요일,11620,관악구,1,현지인(a),213346
20210501,6,토요일,11620,관악구,2,외지인(b),155022
20210501,6,토요일,11620,관악구,3,외국인(c),105.685906
20210501,6,토요일,11650,서초구,1,현지인(a),253963.5
20210501,6,토요일,11650,서초구,2,외지인(b),391300
20210501,6,토요일,11650,서초구,3,외국인(c),164.3833995
20210501,6,토요일,11680,강남구,1,현지인(a),380793
20210501,6,토요일,11680,강남구,2,외지인(b),533057
20210501,6,토요일,11680,강남구,3,외국인(c),388.785666
20210501,6,토요일,11710,송파구,1,현지인(a),370317.5
20210501,6,토요일,11710,송파구,2,외지인(b),303989
20210501,6,토요일,11710,송파구,3,외국인(c),175.3666124
20210501,6,토요일,11740,강동구,1,현지인(a),264638.5
20210501,6,토요일,11740,강동구,2,외지인(b),135289
20210501,6,토요일,11740,강동구,3,외국인(c),69.30216374
20210501,6,토요일,26110,중구,1,현지인(a),30142
20210501,6,토요일,26110,중구,2,외지인(b),111961.5
20210501,6,토요일,26110,중구,3,외국인(c),150.7310407
20210501,6,토요일,26140,서구,1,현지인(a),44618
20210501,6,토요일,26140,서구,2,외지인(b),51016
20210501,6,토요일,26140,서구,3,외국인(c),269.3805096
20210501,6,토요일,26170,동구,1,현지인(a),37026.5
20210501,6,토요일,26170,동구,2,외지인(b),71711.5
20210501,6,토요일,26170,동구,3,외국인(c),82.51105048
20210501,6,토요일,26200,영도구,1,현지인(a),51751
20210501,6,토요일,26200,영도구,2,외지인(b),50477
20210501,6,토요일,26200,영도구,3,외국인(c),236.5062797
20210501,6,토요일,26230,부산진구,1,현지인(a),178937.5
20210501,6,토요일,26230,부산진구,2,외지인(b),201827.5
20210501,6,토요일,26230,부산진구,3,외국인(c),30.92604167
20210501,6,토요일,26260,동래구,1,현지인(a),115010
20210501,6,토요일,26260,동래구,2,외지인(b),92127
20210501,6,토요일,26260,동래구,3,외국인(c),20.76778761
20210501,6,토요일,26290,남구,1,현지인(a),127991.5
20210501,6,토요일,26290,남구,2,외지인(b),78326.5
20210502,7,일요일,11110,종로구,1,현지인(a),98413
20210502,7,일요일,11110,종로구,2,외지인(b),285967.5
20210502,7,일요일,11110,종로구,3,외국인(c),156.0414983
20210502,7,일요일,11140,중구,1,현지인(a),82831
20210502,7,일요일,11140,중구,2,외지인(b),256182.5
20210502,7,일요일,11140,중구,3,외국인(c),404.3748829
20210502,7,일요일,11170,용산구,1,현지인(a),136076.5
20210502,7,일요일,11170,용산구,2,외지인(b),244454
20210502,7,일요일,11170,용산구,3,외국인(c),189.6808028
20210502,7,일요일,11200,성동구,1,현지인(a),145166
20210502,7,일요일,11200,성동구,2,외지인(b),138502
20210502,7,일요일,11200,성동구,3,외국인(c),73.05039648
20210502,7,일요일,11215,광진구,1,현지인(a),191173.5
20210502,7,일요일,11215,광진구,2,외지인(b),183099
20210502,7,일요일,11215,광진구,3,외국인(c),124.0399367
20210502,7,일요일,11230,동대문구,1,현지인(a),163033.5
20210502,7,일요일,11230,동대문구,2,외지인(b),122227
20210502,7,일요일,11230,동대문구,3,외국인(c),113.4189044
20210502,7,일요일,11260,중랑구,1,현지인(a),170541
20210502,7,일요일,11260,중랑구,2,외지인(b),93670.5
20210502,7,일요일,11260,중랑구,3,외국인(c),42.79356742
20210502,7,일요일,11290,성북구,1,현지인(a),215778.5
20210502,7,일요일,11290,성북구,2,외지인(b),120319.5
20210502,7,일요일,11290,성북구,3,외국인(c),129.0476763
20210502,7,일요일,11305,강북구,1,현지인(a),132597.5
20210502,7,일요일,11305,강북구,2,외지인(b),83881
20210502,7,일요일,11305,강북구,3,외국인(c),36.84897321
20210502,7,일요일,11320,도봉구,1,현지인(a),117834.5
20210502,7,일요일,11320,도봉구,2,외지인(b),89288.5
20210502,7,일요일,11320,도봉구,3,외국인(c),29.22920168
20210502,7,일요일,11350,노원구,1,현지인(a),271932.5
20210502,7,일요일,11350,노원구,2,외지인(b),142292.5
20210502,7,일요일,11350,노원구,3,외국인(c),50.49961165
20210502,7,일요일,27710,달성군,3,외국인(c),41.73282127
